"","Date","Month","Year","Site.Name","COUNTY","lat_mean","lon_mean","PM2.5","Ozone"
"103",2020-01-09,1,2020,"Castle Hayne","New Hanover",34.364167,-77.838611,15.5,NA
"104",2020-01-09,1,2020,"Clemmons Middle","Forsyth",36.026,-80.342,27.3333333333333,NA
"105",2020-01-09,1,2020,"Durham Armory","Durham",36.0329550008979,-78.904037,28.3333333333333,NA
"106",2020-01-09,1,2020,"Frying Pan Mountain","Haywood",35.379167,-82.7925,NA,38
"107",2020-01-09,1,2020,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,19,31
"108",2020-01-09,1,2020,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,24.6666666666667,NA
"109",2020-01-09,1,2020,"Leggett","Edgecombe",35.988278,-77.5843,10.5,NA
"110",2020-01-09,1,2020,"Linville Falls","Avery",35.972347,-81.933072,5,NA
"111",2020-01-09,1,2020,"Mendenhall School","Guilford",36.1090060008986,-79.802314,24,NA
"112",2020-01-09,1,2020,"Millbrook School","Wake",35.856111,-78.574167,23.5,32
"113",2020-01-09,1,2020,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,18,NA
"114",2020-01-09,1,2020,"West Johnston Co.","Johnston",35.59095,-78.4622,27.5,35
"115",2020-01-10,1,2020,"Bryson City","Swain",35.434767,-83.442133,38,NA
"116",2020-01-10,1,2020,"Castle Hayne","New Hanover",34.364167,-77.838611,11.5,NA
"117",2020-01-10,1,2020,"Clemmons Middle","Forsyth",36.026,-80.342,33,NA
"118",2020-01-10,1,2020,"Durham Armory","Durham",36.0329550008979,-78.904037,34,NA
"119",2020-01-10,1,2020,"Frying Pan Mountain","Haywood",35.379167,-82.7925,NA,45
"120",2020-01-10,1,2020,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,24,28
"121",2020-01-10,1,2020,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,28,NA
"122",2020-01-10,1,2020,"Leggett","Edgecombe",35.988278,-77.5843,21.5,NA
"123",2020-01-10,1,2020,"Mendenhall School","Guilford",36.1090060008986,-79.802314,17.5,NA
"124",2020-01-10,1,2020,"Millbrook School","Wake",35.856111,-78.574167,27.6666666666667,30
"125",2020-01-10,1,2020,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,26,NA
"126",2020-01-10,1,2020,"West Johnston Co.","Johnston",35.59095,-78.4622,26.5,27
"127",2020-01-11,1,2020,"Bryson City","Swain",35.434767,-83.442133,28,NA
"128",2020-01-11,1,2020,"Castle Hayne","New Hanover",34.364167,-77.838611,14,NA
"129",2020-01-11,1,2020,"Clemmons Middle","Forsyth",36.026,-80.342,47.5,NA
"130",2020-01-11,1,2020,"Durham Armory","Durham",36.0329550008979,-78.904037,44,NA
"131",2020-01-11,1,2020,"Frying Pan Mountain","Haywood",35.379167,-82.7925,0,51
"132",2020-01-11,1,2020,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,33,27.5
